"Gene","K","l","Day","LeuLysMet"
"APPMPM",108.77805,30.98545,26,"PMP"
"BPPMMP",112.99684,17.08381,26,"PMM"
"BMMMPP",94.67882,30.00459,26,"MMP"
"AMMPPM",113.86848,16.80633,26,"MPP"
"APMPMP",116.32274,13.20432,26,"MPM"
"BMMMMM",108.56202,18.62861,26,"MMM"
"BMPPMM",116.61675,12.63611,26,"PPM"
"IPPPPP",117.22422,14.57247,26,"PrPrPr"
"AMPMMM",111.13865,16.69285,26,"PMM"
"AMMMMM",108.12794,19.41267,26,"MMM"
"BPMMPP",102.54542,20.63782,26,"MMP"
"BMMPPP",113.85067,16.27301,26,"MPP"
"BPPMMM",112.87576,14.20128,26,"PMM"
"AMPMPM",110.10475,12.6295,26,"PMP"
"AMMPPP",113.99171,16.74964,26,"MPP"
"BPPMMM",109.69386,17.85597,26,"PMM"
"BPMMPM",118.7243,12.55853,26,"MMP"
"BPPMPM",101.86997,18.77832,26,"PMP"
"AMPPMP",117.27797,14.21683,26,"PPM"
"BMMPPP",115.26366,16.77452,26,"MPP"
"BPPMMP",110.2406,18.78102,26,"PMM"
"APMMMP",110.72672,19.04571,26,"MMM"
"AMMPPM",110.33018,15.48098,26,"MPP"
"AMPPMM",117.57557,12.55105,26,"PPM"
"BMMPPM",120.83587,15.86237,26,"MPP"
"BPPPMM",116.79658,12.45714,26,"PPM"
"BMPMMP",119.56178,11.00734,26,"PMM"
"AMMPMP",112.67529,12.54649,26,"MPM"
"APPMPP",88.73953,18.57699,26,"PMP"
"BMPMPM",87.32455,19.27042,26,"PMP"
"APMPMM",114.27,13.85146,26,"MPM"
"APMMPP",118.05567,12.81862,26,"MMP"
"AMMMPP",94.04842,18.81683,26,"MMP"
"AMPPMM",116.55591,14.03486,26,"PPM"
"BPPMPM",84.62347,20.93455,26,"PMP"
"AMMMPP",105.73868,16.84725,26,"MMP"
"APPPMM",115.50879,14.56086,26,"PPM"
"BPPMMM",118.96221,11.61813,26,"PMM"
"BMMPMP",118.28614,12.87748,26,"MPM"
"BPMPPP",116.01426,17.05554,26,"MPP"
"BMPMPP",56.84881,21.08771,26,"PMP"
"BMPMMM",119.27966,12.65143,26,"PMM"
"APMPMM",115.36439,13.8569,26,"MPM"
"BPMPMP",119.73875,12.95121,26,"MPM"
"APMPPM",78.54687,31.16565,26,"MPP"
"AMPMPP",105.59742,17.4293,26,"PMP"
"BMPMMP",123.14556,11.66732,26,"PMM"
"APMPPM",125.08308,16.68304,26,"MPP"
"BMPMPP",120.07329,12.64619,26,"PMP"
"AMMPPM",112.14435,16.16185,26,"MPP"
"BPMPMM",110.47899,12.27534,26,"MPM"
"AMPMMP",92.41862,17.80397,26,"PMM"
"APMPMM",114.081,13.64021,26,"MPM"
"BPMPPM",112.3301,16.76299,26,"MPP"
"IPPMPP",76.74625,20.73706,26,"PMP"
"BPPMMP",100.60354,18.41265,26,"PMM"
"AMPMPP",86.69736,18.80816,26,"PMP"
"BPPMPP",119.25832,12.0433,26,"PMP"
"BPPPMP",118.42481,12.69539,26,"PPM"
"AMMMMM",91.57207,18.33556,26,"MMM"
"BMMPMM",113.18862,13.12424,26,"MPM"
"APMPPM",89.23464,20.4185,26,"MPP"
"APMMPM",116.69938,13.92361,26,"MMP"
"BMPPMP",114.86963,14.35133,26,"PPM"
"BPMPMP",114.15789,13.96179,26,"MPM"
"BPMMMM",117.22345,14.79772,26,"MMM"
"APMPPP",109.58811,17.07553,26,"MPP"
"IPPPPP",116.4765,14.5908,26,"PrPrPr"
"AMPMPM",119.88078,13.36302,26,"PMP"
"AMMMMM",100.14347,17.3883,26,"MMM"
"BMPMMM",103.70925,18.09839,26,"PMM"
"AMPPPP",127.37534,14.41867,26,"PPP"
"BMPPMP",119.8982,13.69535,26,"PPM"
"BPPMPM",116.44501,14.61181,26,"PMP"
"APMMMM",111.59083,13.15847,26,"MMM"
"APMPMP",113.30875,12.59514,26,"MPM"
"AMMPPM",87.55861,21.25734,26,"MPP"
"BMMPMM",119.12772,12.79998,26,"MPM"
"BPPMPP",73.70344,20.86641,26,"PMP"
"AMPMPM",88.53937,18.95264,26,"PMP"
"BPMMPM",78.31535,19.03321,26,"MMP"
"AMPMMP",93.91827,17.89784,26,"PMM"
"AMMPPP",115.48801,14.27412,26,"MPP"
"APMPPM",108.88165,16.26367,26,"MPP"
"BMPPMP",115.64069,14.13395,26,"PPM"
"BMMMMM",87.69785,16.90536,26,"MMM"
"APPMMM",117.66113,12.18672,26,"PMM"
