"Gene","K","l","Day","LeuLysMet"
"APPMPM",116.16371,14.01181,4,"PMP"
"BPPMMP",113.99223,13.15383,4,"PMM"
"BMMMPP",110.79287,13.8066,4,"MMP"
"AMMPPM",118.83443,11.87164,4,"MPP"
"APMPMP",116.91709,10.31097,4,"MPM"
"BMMMMM",117.94598,12.86575,4,"MMM"
"BMPPMM",119.21336,11.0069,4,"PPM"
"IPPPPP",119.33941,10.27383,4,"PrPrPr"
"AMPMMM",111.59279,13.82002,4,"PMM"
"AMMMMM",119.37315,11.96111,4,"MMM"
"BPMMPP",111.92577,13.54356,4,"MMP"
"BMMPPP",119.62611,11.99446,4,"MPP"
"BPPMMM",117.89971,10.60219,4,"PMM"
"AMPMPM",119.66425,10.37696,4,"PMP"
"AMMPPP",119.71306,9.42998,4,"MPP"
"BPPMMM",111.78588,12.82459,4,"PMM"
"BPMMPM",122.03472,11.33733,4,"MMP"
"BPPMPM",112.85871,13.1342,4,"PMP"
"AMPPMP",119.60887,10.10239,4,"PPM"
"BMMPPP",118.5915,9.95134,4,"MPP"
"BPPMMP",113.47045,12.55069,4,"PMM"
"APMMMP",118.43225,11.80554,4,"MMM"
"AMMPPM",119.68924,9.99064,4,"MPP"
"AMPPMM",124.80866,10.25855,4,"PPM"
"BMMPPM",121.50721,13.25944,4,"MPP"
"BPPPMM",119.97216,11.04734,4,"PPM"
"BMPMMP",117.72275,12.89363,4,"PMM"
"AMMPMP",116.6425,11.24817,4,"MPM"
"APPMPP",102.33459,12.96862,4,"PMP"
"BMPMPM",117.69768,11.52287,4,"PMP"
"APMPMM",115.21204,11.44841,4,"MPM"
"APMMPP",114.4728,12.77409,4,"MMP"
"AMMMPP",104.02372,12.71103,4,"MMP"
"AMPPMM",119.44055,10.29154,4,"PPM"
"BPPMPM",98.08532,13.80597,4,"PMP"
"AMMMPP",95.95757,14.37893,4,"MMP"
"APPPMM",116.47955,10.92117,4,"PPM"
"BPPMMM",116.88712,11.99374,4,"PMM"
"BMMPMP",111.77543,12.47679,4,"MPM"
"BPMPPP",115.66227,10.68999,4,"MPP"
"BMPMPP",94.75801,13.3242,4,"PMP"
"BMPMMM",118.17194,11.85405,4,"PMM"
"APMPMM",114.04245,11.51546,4,"MPM"
"BPMPMP",115.68677,11.13152,4,"MPM"
"APMPPM",120.20748,10.20199,4,"MPP"
"AMPMPP",104.34372,12.38334,4,"PMP"
"BMPMMP",117.3178,14.09776,4,"PMM"
"APMPPM",128.38873,10.57573,4,"MPP"
"BMPMPP",120.20864,12.17617,4,"PMP"
"AMMPPM",117.11797,11.51343,4,"MPP"
"BPMPMM",113.60848,12.72244,4,"MPM"
"AMPMMP",91.96152,14.49967,4,"PMM"
"APMPMM",113.99581,12.48879,4,"MPM"
"BPMPPM",116.32357,11.43142,4,"MPP"
"IPPMPP",116.4311,12.83772,4,"PMP"
"BPPMMP",107.08614,11.88424,4,"PMM"
"AMPMPP",101.49607,12.88334,4,"PMP"
"BPPMPP",116.34865,12.13275,4,"PMP"
"BPPPMP",117.26792,9.77336,4,"PPM"
"AMMMMM",87.27631,14.30812,4,"MMM"
"BMMPMM",112.08922,12.18623,4,"MPM"
"APMPPM",114.25083,11.55254,4,"MPP"
"APMMPM",116.01286,11.12773,4,"MMP"
"BMPPMP",116.0254,10.33722,4,"PPM"
"BPMPMP",111.77467,12.12228,4,"MPM"
"BPMMMM",104.13254,14.18149,4,"MMM"
"APMPPP",116.05576,10.79716,4,"MPP"
"IPPPPP",117.72967,10.85423,4,"PrPrPr"
"AMPMPM",119.62384,11.05574,4,"PMP"
"AMMMMM",101.72529,12.2868,4,"MMM"
"BMPMMM",106.3716,12.64124,4,"PMM"
"AMPPPP",130.88696,10.11429,4,"PPP"
"BMPPMP",120.6573,11.72931,4,"PPM"
"BPPMPM",119.57487,10.16043,4,"PMP"
"APMMMM",109.1066,13.89369,4,"MMM"
"APMPMP",111.59043,12.56891,4,"MPM"
"AMMPPM",117.74797,10.1845,4,"MPP"
"BMMPMM",115.57944,11.89953,4,"MPM"
"BPPMPP",84.46081,15.86619,4,"PMP"
"AMPMPM",104.99662,12.83017,4,"PMP"
"BPMMPM",104.20861,12.2941,4,"MMP"
"AMPMMP",98.37223,12.74947,4,"PMM"
"AMMPPP",117.6488,8.68464,4,"MPP"
"APMPPM",115.28758,11.33069,4,"MPP"
"BMPPMP",117.18185,10.25146,4,"PPM"
"BMMMMM",89.3605,12.49295,4,"MMM"
"APPMMM",115.65346,11.11737,4,"PMM"
"IPPPPP",118.17644,9.96846,4,"PrPrPr"
"BPMMMM",79.86373,13.49783,4,"MMM"
"APPPMP",115.8655,10.77947,4,"PPM"
"APMPPM",113.94341,11.46099,4,"MPP"
"BMPPMP",117.96891,10.02347,4,"PPM"
