"Gene","K","l","Day","LeuLysMet","pH_day","A"
"APPMPM",121.0905,11.58236,21,"PMP","19_0418",NA
"BPPMMP",119.62294,13.10873,21,"PMM","19_0418",NA
"BMMMPP",117.38862,13.39535,21,"MMP","19_0418",NA
"AMMPPM",113.43342,12.96663,21,"MPP","19_0418",NA
"APMPMP",112.89367,12.10633,21,"MPM","19_0418",NA
"BMMMMM",116.11026,14.10951,21,"MMM","19_0418",NA
"BMPPMM",114.13027,11.36944,21,"PPM","19_0418",NA
"IPPPPP",114.23734,13.15488,21,"PrPrPr","19_0418",NA
"AMPMMM",115.8451,14.1757,21,"PMM","19_0418",NA
"AMMMMM",99.88054,21.40845,21,"MMM","19_0418",NA
"BPMMPP",106.32065,18.9457,21,"MMP","19_0418",NA
"BMMPPP",112.99147,13.0638,21,"MPP","19_0418",NA
"BPPMMM",112.50052,12.84055,21,"PMM","19_0418",NA
"AMPMPM",109.86341,11.0288,21,"PMP","19_0418",NA
"AMMPPP",113.09098,11.63367,21,"MPP","19_0418",NA
"BPPMMM",100.33549,19.51481,21,"PMM","19_0418",NA
"BPMMPM",115.34707,11.90182,21,"MMP","19_0418",NA
"BPPMPM",111.25789,16.17694,21,"PMP","19_0418",NA
"AMPPMP",109.73543,11.49929,21,"PPM","19_0418",NA
"BMMPPP",110.69582,10.42114,21,"MPP","19_0418",NA
"BPPMMP",105.68708,18.7108,21,"PMM","19_0418",NA
"APMMMP",115.28944,12.19386,21,"MMM","19_0418",NA
"AMMPPM",109.64461,9.16718,21,"MPP","19_0418",NA
"AMPPMM",114.70905,10.46715,21,"PPM","19_0418",NA
"BMMPPM",117.69396,14.47489,21,"MPP","19_0418",NA
"BPPPMM",119.25539,12.4188,21,"PPM","19_0418",NA
"BMPMMP",113.40675,13.90769,21,"PMM","19_0418",NA
"AMMPMP",112.32148,12.22116,21,"MPM","19_0418",NA
"APPMPP",114.31587,14.25064,21,"PMP","19_0418",NA
"BMPMPM",115.81275,14.80369,21,"PMP","19_0418",NA
"APMPMM",113.34862,12.1372,21,"MPM","19_0418",NA
"APMMPP",117.17233,13.76847,21,"MMP","19_0418",NA
"AMMMPP",99.27971,18.18307,21,"MMP","19_0418",NA
"AMPPMM",117.1221,11.95232,21,"PPM","19_0418",NA
"BPPMPM",117.51061,13.18764,21,"PMP","19_0418",NA
"AMMMPP",113.71744,13.53076,21,"MMP","19_0418",NA
"APPPMM",112.76622,11.47721,21,"PPM","19_0418",NA
"BPPMMM",113.25974,13.38117,21,"PMM","19_0418",NA
"BMMPMP",106.42284,12.39571,21,"MPM","19_0418",NA
"BPMPPP",110.73826,11.80989,21,"MPP","19_0418",NA
"BMPMPP",98.87152,15.70164,21,"PMP","19_0418",NA
"BMPMMM",89.28819,19.71929,21,"PMM","19_0418",NA
"APMPMM",110.89124,11.44951,21,"MPM","19_0418",NA
"BPMPMP",109.98947,13.13761,21,"MPM","19_0418",NA
"APMPPM",112.40555,10.21422,21,"MPP","19_0418",NA
"AMPMPP",98.86534,18.11715,21,"PMP","19_0418",NA
"BMPMMP",115.41263,12.25469,21,"PMM","19_0418",NA
"APMPPM",119.80622,9.59041,21,"MPP","19_0418",NA
"BMPMPP",120.78228,13.43669,21,"PMP","19_0418",NA
"AMMPPM",115.91033,11.90135,21,"MPP","19_0418",NA
"BPMPMM",111.17619,13.26374,21,"MPM","19_0418",NA
"AMPMMP",73.42569,18.88168,21,"PMM","19_0418",NA
"APMPMM",110.12778,12.88653,21,"MPM","19_0418",NA
"BPMPPM",114.54597,11.55305,21,"MPP","19_0418",NA
"IPPMPP",96.01988,17.59805,21,"PMP","19_0418",NA
"BPPMMP",91.49271,18.32179,21,"PMM","19_0418",NA
"AMPMPP",99.89729,17.94281,21,"PMP","19_0418",NA
"BPPMPP",101.8322,16.72113,21,"PMP","19_0418",NA
"BPPPMP",115.71099,12.04982,21,"PPM","19_0418",NA
