"Gene","K","l","Day","LeuLysMet","pH_day","A"
"APPMPM",120.79716,13.04389,31,"PMP","19_0503",NA
"BPPMMP",116.01926,12.3091,31,"PMM","19_0503",NA
"BMMMPP",109.93024,18.50944,31,"MMP","19_0503",NA
"AMMPPM",113.71545,14.29326,31,"MPP","19_0503",NA
"APMPMP",110.87505,12.21824,31,"MPM","19_0503",NA
"BMMMMM",106.95998,17.87821,31,"MMM","19_0503",NA
"BMPPMM",110.07686,11.08465,31,"PPM","19_0503",NA
"IPPPPP",115.02109,13.95999,31,"PrPrPr","19_0503",NA
"AMPMMM",117.69905,14.81559,31,"PMM","19_0503",NA
"AMMMMM",109.58298,18.16672,31,"MMM","19_0503",NA
"BPMMPP",110.31623,17.85435,31,"MMP","19_0503",NA
"BMMPPP",112.68536,13.93311,31,"MPP","19_0503",NA
"BPPMMM",110.57491,12.34828,31,"PMM","19_0503",NA
"AMPMPM",117.05898,12.67183,31,"PMP","19_0503",NA
"AMMPPP",111.65702,11.92995,31,"MPP","19_0503",NA
"BPPMMM",109.55476,19.77979,31,"PMM","19_0503",NA
"BPMMPM",113.73104,12.24478,31,"MMP","19_0503",NA
"BPPMPM",110.04442,20.81076,31,"PMP","19_0503",NA
"AMPPMP",112.69366,13.02678,31,"PPM","19_0503",NA
"BMMPPP",115.7185,12.70083,31,"MPP","19_0503",NA
"BPPMMP",108.27799,17.49165,31,"PMM","19_0503",NA
"APMMMP",110.36779,19.43398,31,"MMM","19_0503",NA
"AMMPPM",116.12276,12.83253,31,"MPP","19_0503",NA
"AMPPMM",117.70673,11.55557,31,"PPM","19_0503",NA
"BMMPPM",117.9183,14.14031,31,"MPP","19_0503",NA
"BPPPMM",114.86909,12.80212,31,"PPM","19_0503",NA
"BMPMMP",115.95022,14.24634,31,"PMM","19_0503",NA
"AMMPMP",113.43081,13.65506,31,"MPM","19_0503",NA
"APPMPP",104.93484,18.95507,31,"PMP","19_0503",NA
"BMPMPM",105.86592,17.36894,31,"PMP","19_0503",NA
"APMPMM",113.23974,13.09179,31,"MPM","19_0503",NA
"APMMPP",103.33848,18.53312,31,"MMP","19_0503",NA
"AMMMPP",99.73366,18.9647,31,"MMP","19_0503",NA
"AMPPMM",113.84227,12.1619,31,"PPM","19_0503",NA
"BPPMPM",114.48555,13.37805,31,"PMP","19_0503",NA
"AMMMPP",112.71722,13.27152,31,"MMP","19_0503",NA
"APPPMM",108.31708,13.3128,31,"PPM","19_0503",NA
"BPPMMM",115.74404,13.05003,31,"PMM","19_0503",NA
"BMMPMP",110.54877,15.04602,31,"MPM","19_0503",NA
"BPMPPP",115.64625,16.4046,31,"MPP","19_0503",NA
"BMPMPP",104.67967,18.95322,31,"PMP","19_0503",NA
"BMPMMM",99.5789,20.726,31,"PMM","19_0503",NA
"APMPMM",103.32541,15.38459,31,"MPM","19_0503",NA
"BPMPMP",112.626,14.47442,31,"MPM","19_0503",NA
"APMPPM",114.94162,11.77837,31,"MPP","19_0503",NA
"AMPMPP",102.44523,19.68201,31,"PMP","19_0503",NA
"BMPMMP",119.42365,12.96445,31,"PMM","19_0503",NA
"APMPPM",122.4367,13.21241,31,"MPP","19_0503",NA
"BMPMPP",117.65972,14.67413,31,"PMP","19_0503",NA
"AMMPPM",115.31622,12.80898,31,"MPP","19_0503",NA
"BPMPMM",104.16019,16.28059,31,"MPM","19_0503",NA
"AMPMMP",114.09001,14.39966,31,"PMM","19_0503",NA
"APMPMM",110.64782,15.40345,31,"MPM","19_0503",NA
"BPMPPM",112.03102,14.42267,31,"MPP","19_0503",NA
